ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2017/12,Passagens e Despesas com Locomoção,-28748.369999999995
2018/01,Auxílio Financeiro a Estudantes,3130194.6
2018/01,Auxílio Financeiro a Pesquisadores,0.0
2018/01,Contribuições,2000.0
2018/01,Despesas de Exercícios Anteriores,206825.81
2018/01,Diárias - Civil,7626.9
2018/01,Equipamentos e Material Permanente,90.0
2018/01,Indenizações e Restituições,1674039.0
2018/01,Locação de Mão-de-Obra,0.0
2018/01,Material de Consumo,10261.939999999999
2018/01,"Material, Bem ou Serviço para Distribuição",0.0
2018/01,Outros Auxílios Financeiros a Pessoas Físic,2018240.58
