ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2017/07,Outros Serviços de Terceiros - Pessoa Juríd,10032901.162340237
2017/07,Passagens e Despesas com Locomoção,72716.2752210526
2017/08,Auxílio Financeiro a Estudantes,92529.35855345173
2017/08,Auxílio Financeiro a Pesquisadores,9802.733115326999
2017/08,Contribuições,1463.0944948249253
2017/08,Despesas de Exercícios Anteriores,269433.7672195126
2017/08,Diárias - Civil,154056.06664235218
2017/08,Equipamentos e Material Permanente,862716.8145266811
2017/08,Indenizações e Restituições,1776847.0329585192
2017/08,Locação de Mão-de-Obra,1591048.3265489682
2017/08,Material de Consumo,1085407.390099463
2017/08,"Material, Bem ou Serviço para Distribuição",8684.138850253552
2017/08,Obras e Instalações,0.0
2017/08,Outros Auxílios Financeiros a Pessoas Físic,1484006.533701348
2017/08,Outros Serviços de Terceiros - Pessoa Físic,319899.01273729827
2017/08,Outros Serviços de Terceiros - Pessoa Juríd,7021433.700476194
2017/08,Passagens e Despesas com Locomoção,65547.97941509189
2017/09,Auxílio Financeiro a Estudantes,953130.4828599232
2017/09,Auxílio Financeiro a Pesquisadores,33235.18329174236
2017/09,Contribuições,21217.988421730446
2017/09,Despesas de Exercícios Anteriores,85157.03536638805
2017/09,Diárias - Civil,165378.95569480932
2017/09,Equipamentos e Material Permanente,1939755.3752610153
2017/09,Indenizações e Restituições,1778412.7297395715
2017/09,Locação de Mão-de-Obra,2532860.38873608
2017/09,Material de Consumo,1084775.625260501
2017/09,Obras e Instalações,0.0
2017/09,Outros Auxílios Financeiros a Pessoas Físic,2292163.4697664804
2017/09,Outros Serviços de Terceiros - Pessoa Físic,1353854.0643922952
2017/09,Outros Serviços de Terceiros - Pessoa Juríd,9639489.469553556
2017/09,Passagens e Despesas com Locomoção,118810.27320745635
2017/10,Auxílio Financeiro a Estudantes,472491.45352112676
2017/10,Auxílio Financeiro a Pesquisadores,18805.687887323944
2017/10,Contribuições,121211.50269295774
2017/10,Despesas de Exercícios Anteriores,104221.36083380281
2017/10,Diárias - Civil,113182.29729577464
2017/10,Equipamentos e Material Permanente,10633839.19463662
2017/10,Indenizações e Restituições,1843214.8419943661
2017/10,Locação de Mão-de-Obra,3234988.469138028
2017/10,Material de Consumo,2142059.420450704
2017/10,"Material, Bem ou Serviço para Distribuição",0.0
2017/10,Outros Auxílios Financeiros a Pessoas Físic,1549323.4559661972
2017/10,Outros Serviços de Terceiros - Pessoa Físic,434852.81764507043
2017/10,Outros Serviços de Terceiros - Pessoa Juríd,8559459.565487323
2017/10,Passagens e Despesas com Locomoção,331064.7236845071
